dokument,pipeline,commodity,quality,n_pages,n_fields,n_zero_excluded,n_short_exact,kie_mean,recall100,recall90,recall75,cer_field_mean,single_line_rate,y_spread_med,conf_mean,n_words,t_render_s,t_prep_s,t_ocr_s,ts
ba2ea8628c,P0_baseline,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,87.15,1719,0.62,0.0,15.8,2026-07-05T18:54:47
ba2ea8628c,P1_gray,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,86.77,1723,0.62,0.01,11.93,2026-07-05T18:54:59
ba2ea8628c,P2_gray_otsu,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,83.79,1723,0.62,0.05,10.86,2026-07-05T18:55:10
ba2ea8628c,P3_gray_adaptive,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,82.02,1804,0.62,0.25,11.39,2026-07-05T18:55:22
ba2ea8628c,P4_gray_denoise,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,87.41,1719,0.62,10.98,11.74,2026-07-05T18:55:45
ba2ea8628c,P5_gray_clahe,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,84.58,1587,0.62,0.06,12.62,2026-07-05T18:55:57
ba2ea8628c,P6_gray_denoise_otsu,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,84.09,1723,0.62,11.14,10.99,2026-07-05T18:56:20
ba2ea8628c,P7_gray_clahe_denoise,elektrina_nn,Q1,5,15,0,2,93.333,0.9333,0.9333,0.9333,0.0667,1.0,0.0,86.06,1633,0.62,10.38,11.71,2026-07-05T18:56:42
ba2ea8628c,P8_clahe_den_desk_otsu,elektrina_nn,Q1,5,15,0,2,86.0,0.8,0.8667,0.8667,0.14,1.0,0.0,82.42,1620,0.62,10.71,10.9,2026-07-05T18:57:03
20fa8702f6,P0_baseline,elektrina_nn,Q2,6,14,0,0,99.206,0.9286,0.9286,1.0,0.0079,1.0,0.0,80.57,1928,0.74,0.0,18.89,2026-07-05T18:57:23
