dokument,phase,run_id,run_ts,invoice_idx,quality,commodity,prompt_language,prompt_strategy,model,model_label,prompt_tokens,completion_tokens,total_tokens,latency_ms,tp,fp,fn,precision,recall,f1,null_rate,gt_present,cost_usd,cost_czk,api_error
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,8341,95,8436,1608.321189880371,1,4,6,0.2,0.1428571428571428,0.1666666666666666,0.5454545454545454,11,0.0008721,0.02049435,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,8341,109,8450,2072.2496509552,4,7,0,0.3636363636363636,1.0,0.5333333333333333,0.0,11,0.0013165499999999,0.0309389249999999,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,8341,87,8428,1302.363395690918,3,2,6,0.6,0.3333333333333333,0.4285714285714285,0.5454545454545454,11,0.0034755999999999,0.0816765999999999,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,8341,96,8437,1311.8865489959717,4,4,3,0.5,0.5714285714285714,0.5333333333333333,0.2727272727272727,11,0.0218125,0.51259375,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,8341,109,8450,1070.582628250122,4,7,0,0.3636363636363636,1.0,0.5333333333333333,0.0,11,0.0219425,0.51564875,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,8341,95,8436,1670.168399810791,6,2,3,0.75,0.6666666666666666,0.7058823529411765,0.2727272727272727,11,0.017442,0.409887,
9006dce3ee,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,0,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,8341,95,8436,1044.039964675903,6,2,3,0.75,0.6666666666666666,0.7058823529411765,0.2727272727272727,11,0.017442,0.409887,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-nano,GPT-4.1 nano,9882,130,10012,1427.0200729370115,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.0,11,0.0010402,0.0244447,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-mini,GPT-4o mini,9882,109,9991,1924.6175289154053,10,1,0,0.9090909090909092,1.0,0.9523809523809524,0.0,11,0.0015477,0.03637095,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-mini,GPT-4.1 mini,9882,102,9984,1570.6958770751953,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.1818181818181818,11,0.004116,0.0967259999999999,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4o,GPT-4o,9882,102,9984,1366.7879104614258,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.1818181818181818,11,0.025725,0.6045375000000001,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4o-2024-11-20,GPT-4o Nov-24,9882,102,9984,1141.3159370422363,8,1,2,0.8888888888888888,0.8,0.8421052631578948,0.1818181818181818,11,0.025725,0.6045375000000001,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1,GPT-4.1,9882,104,9986,1356.6112518310547,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.020596,0.484006,
8f69deff83,2,3777b95d-a200-4316-9228-b4f2303aa736,2026-04-19T22:35:38.770898+00:00,1,Q1,elektrina_nn,cs_en,few_shot,gpt-4.1-2025-04-14,GPT-4.1 Apr-25,9882,104,9986,1199.29838180542,9,1,1,0.9,0.9,0.9,0.0909090909090909,11,0.020596,0.484006,
