strategie,quality,commodity,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_czk,f1,null_rate
zero_shot,Q3,elektrina_nn,5342,124,5466,3728.3082008361816,0.0005838,0.0137193,0.7368421052631579,0.0
zero_shot_rules,Q3,elektrina_nn,6183,122,6305,1163.926601409912,0.0006671,0.01567685,0.9565217391304348,0.0833333333333333
few_shot,Q3,elektrina_nn,8240,151,8391,1334.392547607422,0.0008844,0.0207834,0.9090909090909092,0.0
chain_of_thought,Q3,elektrina_nn,6232,111,6343,1188.9543533325195,0.0006676,0.0156886,0.8,0.3333333333333333
zero_shot,Q2,elektrina_nn,3669,112,3781,952.5163173675536,0.0004117,0.00967495,0.3749999999999999,0.2307692307692307
zero_shot_rules,Q2,elektrina_nn,4510,80,4590,871.4916706085205,0.000483,0.0113505,0.0,1.0
few_shot,Q2,elektrina_nn,6567,139,6706,1172.215223312378,0.0007123,0.01673905,0.4705882352941177,0.1538461538461538
chain_of_thought,Q2,elektrina_nn,4559,80,4639,696.4733600616455,0.0004879,0.01146565,0.0,1.0
zero_shot,Q2,elektrina_nn,4135,110,4245,904.7577381134032,0.0004575,0.01075125,0.375,0.3846153846153846
zero_shot_rules,Q2,elektrina_nn,4976,110,5086,1058.9842796325684,0.0005416,0.0127276,0.375,0.3846153846153846
few_shot,Q2,elektrina_nn,7033,155,7188,1061.3203048706057,0.0007653,0.01798455,0.5555555555555556,0.0
chain_of_thought,Q2,elektrina_nn,5025,110,5135,749.4537830352783,0.0005465,0.01284275,0.375,0.3846153846153846
zero_shot,Q3,elektrina_nn,3056,124,3180,1271.25883102417,0.0003552,0.0083472,0.2666666666666666,0.0769230769230769
zero_shot_rules,Q3,elektrina_nn,3897,129,4026,1919.8510646820068,0.0004413,0.01037055,0.2666666666666666,0.3076923076923077
few_shot,Q3,elektrina_nn,5954,151,6105,1478.6686897277832,0.0006558,0.0154113,0.2666666666666667,0.0
chain_of_thought,Q3,elektrina_nn,3946,122,4068,1455.9552669525146,0.0004434,0.0104199,0.2666666666666666,0.1538461538461538
zero_shot,Q3,elektrina_nn,4485,117,4602,1097.6009368896484,0.0004953,0.01163955,0.1538461538461538,0.1666666666666666
zero_shot_rules,Q3,elektrina_nn,5326,119,5445,869.9827194213867,0.0005802,0.0136347,0.1538461538461538,0.1666666666666666
few_shot,Q3,elektrina_nn,7383,154,7537,2799.130439758301,0.0007999,0.01879765,0.1538461538461538,0.0
chain_of_thought,Q3,elektrina_nn,5375,121,5496,853.9626598358154,0.0005859,0.01376865,0.3999999999999999,0.0833333333333333
zero_shot,Q1,elektrina_vn,5905,228,6133,1489.6066188812256,0.0006817,0.01601995,0.5714285714285715,0.2
zero_shot_rules,Q1,elektrina_vn,7385,215,7600,1305.4237365722656,0.0008245,0.01937575,0.75,0.2
few_shot,Q1,elektrina_vn,8773,284,9057,1746.478796005249,0.0009909,0.02328615,0.7499999999999999,0.0
chain_of_thought,Q1,elektrina_vn,7434,222,7656,14250.03433227539,0.0008322,0.0195567,0.5714285714285715,0.2
zero_shot,Q3,elektrina_vn,6114,227,6341,1485.4309558868408,0.0007022,0.0165017,0.5714285714285715,0.2
zero_shot_rules,Q3,elektrina_vn,7594,220,7814,1343.1174755096436,0.0008474,0.0199139,0.5714285714285715,0.2
few_shot,Q3,elektrina_vn,8982,297,9279,1600.252389907837,0.001017,0.0238994999999999,0.4615384615384615,0.0
chain_of_thought,Q3,elektrina_vn,7643,203,7846,1527.7786254882812,0.0008455,0.01986925,0.5714285714285715,0.4
zero_shot,Q2,elektrina_vn,6073,233,6306,1608.4609031677246,0.0007005,0.01646175,0.5714285714285715,0.0
zero_shot_rules,Q2,elektrina_vn,7553,230,7783,1304.8241138458252,0.0008473,0.01991155,0.6666666666666666,0.0
few_shot,Q2,elektrina_vn,8941,307,9248,1450.9730339050293,0.0010169,0.02389715,0.6666666666666666,0.0
chain_of_thought,Q2,elektrina_vn,7602,231,7833,1257.472038269043,0.0008526,0.0200361,0.5714285714285715,0.0
zero_shot,Q1,elektrina_vn,6082,225,6307,1634.7675323486328,0.0006982,0.0164077,0.6666666666666666,0.0
zero_shot_rules,Q1,elektrina_vn,7562,229,7791,1266.9219970703125,0.0008478,0.0199233,0.8235294117647058,0.0
few_shot,Q1,elektrina_vn,8950,294,9244,1517.6289081573486,0.0010126,0.0237961,0.7499999999999999,0.0
chain_of_thought,Q1,elektrina_vn,7611,231,7842,1426.0056018829346,0.0008535,0.02005725,0.8235294117647058,0.0
zero_shot,Q3,elektrina_vn,5692,232,5924,1436.1212253570557,0.000662,0.015557,0.8,0.0
zero_shot_rules,Q3,elektrina_vn,7172,219,7391,1642.6756381988523,0.0008048,0.0189128,0.8,0.0
few_shot,Q3,elektrina_vn,8560,293,8853,1634.631633758545,0.0009732,0.0228702,0.8,0.0
chain_of_thought,Q3,elektrina_vn,7221,224,7445,1150.4464149475098,0.0008117,0.01907495,0.8,0.0
zero_shot,Q1,plyn_mo,5305,122,5427,1050.2638816833496,0.0005792999999999,0.0136135499999999,0.0,0.0
zero_shot_rules,Q1,plyn_mo,6124,113,6237,1046.2136268615725,0.0006576,0.0154536,0.1818181818181818,0.0
few_shot,Q1,plyn_mo,8286,135,8421,960.3173732757568,0.0008826,0.0207411,0.1818181818181818,0.0
chain_of_thought,Q1,plyn_mo,6173,113,6286,1073.2460021972656,0.0006625,0.01556875,0.1818181818181818,0.0
zero_shot,Q2,plyn_mo,4655,118,4773,1009.0596675872804,0.0005127,0.01204845,0.0,0.0
zero_shot_rules,Q2,plyn_mo,5474,113,5587,1028.470516204834,0.0005926,0.0139261,0.1818181818181818,0.0
few_shot,Q2,plyn_mo,7636,136,7772,1093.8594341278076,0.000818,0.019223,0.0,0.0
chain_of_thought,Q2,plyn_mo,5523,112,5635,1480.3674221038818,0.0005971,0.01403185,0.1818181818181818,0.0
zero_shot,Q2,plyn_mo,4732,115,4847,1019.2983150482178,0.0005192,0.0122012,0.0,0.0
zero_shot_rules,Q2,plyn_mo,5551,86,5637,959.099054336548,0.0005895,0.01385325,0.1818181818181818,0.6
