strategie,kvalita,komodita,f1,precision,recall,null_rate,prompt_tokens,completion_tokens,latency_ms,cost_usd,cost_czk,pole_celkem,pole_spravne
zero_shot,Q3,elektrina_nn,0.0,0.0,0.0,1.0,3083,68,1964.4877910614014,0.0003355,0.00788425,0,0
zero_shot_rules,Q3,elektrina_nn,0.0,0.0,0.0,1.0,3866,68,1452.19087600708,0.00041380000000000003,0.0097243,0,0
few_shot,Q3,elektrina_nn,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.18181818181818182,5618,119,1153.226375579834,0.0006094000000000001,0.014320900000000001,0,0
chain_of_thought,Q3,elektrina_nn,0.0,0.0,0.0,1.0,3915,68,859.992504119873,0.0004187,0.00983945,0,0
zero_shot,Q2,elektrina_nn,0.3076923076923077,0.25,0.4,0.2727272727272727,5671,100,1508.3537101745605,0.0006071000000000001,0.014266850000000001,0,0
zero_shot_rules,Q2,elektrina_nn,0.42857142857142855,0.5,0.375,0.45454545454545453,6454,91,1438.6327266693115,0.0006818000000000001,0.016022300000000003,0,0
few_shot,Q2,elektrina_nn,0.5333333333333333,0.36363636363636365,1.0,0.0,8206,133,1761.484146118164,0.0008738000000000001,0.020534300000000002,0,0
chain_of_thought,Q2,elektrina_nn,0.42857142857142855,0.6,0.3333333333333333,0.5454545454545454,6503,88,1021.6293334960938,0.0006855000000000001,0.016109250000000002,0,0
zero_shot,Q2,elektrina_nn,0.625,0.45454545454545453,1.0,0.0,5028,110,3299.349069595337,0.0005468,0.0128498,0,0
zero_shot_rules,Q2,elektrina_nn,0.7058823529411765,0.6666666666666666,0.75,0.18181818181818182,5811,103,908.226490020752,0.0006223000000000001,0.014624050000000003,0,0
few_shot,Q2,elektrina_nn,0.7058823529411764,0.5454545454545454,1.0,0.0,7563,130,1130.7644844055176,0.0008083000000000001,0.018995050000000003,0,0
chain_of_thought,Q2,elektrina_nn,0.6250000000000001,0.5555555555555556,0.7142857142857143,0.18181818181818182,5860,103,1075.8922100067139,0.0006272000000000001,0.014739200000000001,0,0
zero_shot,Q3,elektrina_nn,0.30769230769230765,0.2222222222222222,0.5,0.18181818181818182,3714,105,1391.8514251708984,0.0004134,0.0097149,0,0
zero_shot_rules,Q3,elektrina_nn,0.16666666666666669,1.0,0.09090909090909091,0.9090909090909091,4497,73,785.64453125,0.00047890000000000004,0.011254150000000001,0,0
few_shot,Q3,elektrina_nn,0.5333333333333333,0.36363636363636365,1.0,0.0,6249,129,1204.2486667633057,0.0006765000000000001,0.015897750000000002,0,0
chain_of_thought,Q3,elektrina_nn,0.0,0.0,0.0,1.0,4546,68,857.7239513397217,0.0004818,0.0113223,0,0
zero_shot,q3,elektrina_nn,0.0,0.0,0.0,0.9090909090909091,3178,73,919.3079471588135,0.000347,0.0081545,0,0
zero_shot_rules,q3,elektrina_nn,0.0,0.0,0.0,1.0,3961,68,715.3887748718262,0.0004233,0.00994755,0,0
few_shot,q3,elektrina_nn,0.7058823529411764,0.5454545454545454,1.0,0.0,5713,131,1152.6968479156494,0.0006237,0.01465695,0,0
chain_of_thought,q3,elektrina_nn,0.0,0.0,0.0,1.0,4010,68,875.568151473999,0.0004282,0.0100627,0,0
zero_shot,Q2,elektrina_vn,0.8571428571428571,0.75,1.0,0.0,5069,211,1323.1759071350098,0.0005913000000000001,0.013895550000000003,0,0
zero_shot_rules,Q2,elektrina_vn,0.8571428571428571,0.75,1.0,0.0,6491,211,1422.6350784301758,0.0007335,0.01723725,0,0
few_shot,Q2,elektrina_vn,0.5454545454545454,0.42857142857142855,0.75,0.125,7842,238,2563.603162765503,0.0008794000000000001,0.020665900000000004,0,0
chain_of_thought,Q2,elektrina_vn,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,6540,193,1708.7833881378174,0.0007312,0.0171832,0,0
zero_shot,Q3,elektrina_vn,0.24,0.6,0.15,0.7727272727272727,6865,204,1399.2438316345215,0.0007681000000000001,0.018050350000000003,0,0
zero_shot_rules,Q3,elektrina_vn,0.16666666666666666,0.4,0.10526315789473684,0.7727272727272727,8287,205,1493.3512210845947,0.0009107000000000001,0.021401450000000002,0,0
few_shot,Q3,elektrina_vn,0.5333333333333333,0.36363636363636365,1.0,0.0,9638,293,1856.3480377197266,0.001081,0.0254035,0,0
chain_of_thought,Q3,elektrina_vn,0.0,0.0,0.0,1.0,8336,169,1236.5117073059082,0.0009012,0.0211782,0,0
zero_shot,Q2,elektrina_vn,0.3076923076923077,0.8,0.19047619047619047,0.7727272727272727,6866,206,1878.446340560913,0.000769,0.0180715,0,0
zero_shot_rules,Q2,elektrina_vn,0.37037037037037035,0.625,0.2631578947368421,0.6363636363636364,8288,253,2186.3574981689453,0.0009300000000000002,0.021855000000000003,0,0
few_shot,Q2,elektrina_vn,0.6666666666666666,0.5,1.0,0.0,9639,298,1847.3989963531494,0.0010831,0.02545285,0,0
chain_of_thought,Q2,elektrina_vn,0.0,0.0,0.0,1.0,8337,169,2150.6965160369873,0.0009013000000000001,0.021180550000000003,0,0
zero_shot,Q2,elektrina_vn,0.37037037037037035,0.7142857142857143,0.25,0.6818181818181818,6196,213,3160.900831222534,0.0007048000000000001,0.016562800000000003,0,0
zero_shot_rules,Q2,elektrina_vn,0.0,0.0,0.0,0.9090909090909091,7618,174,1414.8757457733154,0.0008314,0.0195379,0,0
few_shot,Q2,elektrina_vn,0.5333333333333333,0.36363636363636365,1.0,0.0,8969,298,4800.6391525268555,0.0010161,0.02387835,0,0
chain_of_thought,Q2,elektrina_vn,0.0,0.0,0.0,1.0,7667,169,1400.6922245025635,0.0008343000000000001,0.01960605,0,0
zero_shot,Q2,elektrina_vn,0.5454545454545454,0.375,1.0,0.0,4839,208,2267.4787044525146,0.0005671000000000001,0.013326850000000001,0,0
zero_shot_rules,Q2,elektrina_vn,0.6666666666666666,0.5,1.0,0.0,6261,206,2392.285108566284,0.0007085,0.01664975,0,0
few_shot,Q2,elektrina_vn,0.6666666666666666,0.5,1.0,0.0,7612,239,2713.303804397583,0.0008568000000000001,0.0201348,0,0
chain_of_thought,Q2,elektrina_vn,0.0,0.0,0.0,1.0,6310,169,1636.5575790405273,0.0006986000000000001,0.0164171,0,0
zero_shot,Q2,plyn_mo,0.1818181818181818,0.1111111111111111,0.5,0.1,7105,96,1382.215976715088,0.0007488999999999999,0.017599149999999997,0,0
zero_shot_rules,Q2,plyn_mo,0.0,0.0,0.0,0.1,7866,92,844.5587158203125,0.0008234,0.0193499,0,0
few_shot,Q2,plyn_mo,0.46153846153846156,0.3333333333333333,0.75,0.1,9605,113,1077.6569843292236,0.0010057,0.02363395,0,0
chain_of_thought,Q2,plyn_mo,0.3333333333333333,0.25,0.5,0.2,7915,92,909.4142913818359,0.0008282999999999999,0.019465049999999998,0,0
zero_shot,Q2,plyn_mo,0.6666666666666666,0.625,0.7142857142857143,0.2,7328,91,1145.493984222412,0.0007692,0.0180762,0,0
zero_shot_rules,Q2,plyn_mo,0.6666666666666666,0.625,0.7142857142857143,0.2,8089,91,873.1689453125,0.0008453000000000001,0.01986455,0,0
few_shot,Q2,plyn_mo,0.75,0.6666666666666666,0.8571428571428571,0.1,9828,113,2065.32621383667,0.001028,0.024158000000000002,0,0
chain_of_thought,Q2,plyn_mo,0.5714285714285715,0.5,0.6666666666666666,0.2,8138,90,789.6223068237305,0.0008498000000000001,0.0199703,0,0
zero_shot,Q2,plyn_mo,0.6666666666666667,0.5555555555555556,0.8333333333333334,0.1,6448,96,1186.5124702453613,0.0006832,0.016055200000000002,0,0
zero_shot_rules,Q2,plyn_mo,0.823529411764706,0.7777777777777778,0.875,0.1,7209,97,878.1321048736572,0.0007597000000000001,0.017852950000000003,0,0
few_shot,Q2,plyn_mo,0.823529411764706,0.7777777777777778,0.875,0.1,8948,115,1172.7097034454346,0.0009408000000000001,0.0221088,0,0
chain_of_thought,Q2,plyn_mo,0.75,0.6666666666666666,0.8571428571428571,0.1,7258,96,715.1539325714111,0.0007642,0.0179587,0,0
zero_shot,Q1,plyn_mo,0.75,0.6666666666666666,0.8571428571428571,0.1,9480,100,1195.3723430633545,0.000988,0.023218,0,0
zero_shot_rules,Q1,plyn_mo,0.46153846153846156,0.75,0.3333333333333333,0.6,10241,74,891.4587497711182,0.0010537,0.02476195,0,0
few_shot,Q1,plyn_mo,0.888888888888889,0.8,1.0,0.0,11980,118,1195.2581405639648,0.0012452000000000001,0.029262200000000002,0,0
chain_of_thought,Q1,plyn_mo,0.75,0.75,0.75,0.2,10290,92,967.6856994628906,0.0010658,0.0250463,0,0
zero_shot,Q3,plyn_mo,0.0,0.0,0.0,0.1,5545,97,948.6098289489746,0.0005933,0.013942549999999998,0,0
zero_shot_rules,Q3,plyn_mo,0.0,0.0,0.0,0.1,6306,97,986.8826866149902,0.0006694,0.0157309,0,0
few_shot,Q3,plyn_mo,0.0,0.0,0.0,0.3,8045,104,873.7788200378418,0.0008461,0.01988335,0,0
chain_of_thought,Q3,plyn_mo,0.0,0.0,0.0,1.0,6355,60,586.5049362182617,0.0006595,0.015498250000000002,0,0
zero_shot,Q3,plyn_vo,0.0,0.0,0.0,1.0,4049,151,1178.0214309692383,0.0004653000000000001,0.010934550000000001,0,0
zero_shot_rules,Q3,plyn_vo,0.0,0.0,0.0,1.0,5254,142,1180.044412612915,0.0005822,0.013681699999999998,0,0
few_shot,Q3,plyn_vo,0.2,0.3333333333333333,0.14285714285714285,0.6666666666666666,6872,210,2029.646396636963,0.0007712000000000001,0.018123200000000003,0,0
chain_of_thought,Q3,plyn_vo,0.0,0.0,0.0,1.0,5303,142,1238.7914657592773,0.0005871,0.013796850000000001,0,0
zero_shot,Q2,plyn_vo,0.2,0.2857142857142857,0.15384615384615385,0.6111111111111112,7585,185,1693.7580108642578,0.0008325,0.01956375,0,0
zero_shot_rules,Q2,plyn_vo,0.2,0.25,0.16666666666666666,0.5555555555555556,8790,186,1925.7638454437256,0.0009534,0.0224049,0,0
few_shot,Q2,plyn_vo,0.4347826086956522,0.38461538461538464,0.5,0.2777777777777778,10408,234,3009.6919536590576,0.0011343999999999998,0.026658399999999995,0,0
chain_of_thought,Q2,plyn_vo,0.2,0.2857142857142857,0.15384615384615385,0.6111111111111112,8839,184,2338.811159133911,0.0009575000000000001,0.022501250000000004,0,0
zero_shot,Q3,plyn_vo,0.2,0.3333333333333333,0.14285714285714285,0.6666666666666666,4935,172,2154.0238857269287,0.0005623,0.013214049999999998,0,0
zero_shot_rules,Q3,plyn_vo,0.19999999999999998,1.0,0.1111111111111111,0.8888888888888888,6140,167,1510.6306076049805,0.0006808,0.0159988,0,0
few_shot,Q3,plyn_vo,0.2,0.3333333333333333,0.14285714285714285,0.6666666666666666,7758,207,1276.0238647460938,0.0008586000000000002,0.020177100000000003,0,0
chain_of_thought,Q3,plyn_vo,0.0,0.0,0.0,1.0,6189,142,1359.342336654663,0.0006757,0.01587895,0,0
zero_shot,Q3,plyn_vo,0.6666666666666666,0.5,1.0,0.0,4228,180,1867.3040866851807,0.0004948,0.0116278,0,0
zero_shot_rules,Q3,plyn_vo,0.3333333333333333,0.2857142857142857,0.4,0.3,5433,172,1285.3705883026123,0.0006121,0.014384349999999999,0,0
few_shot,Q3,plyn_vo,0.5714285714285715,0.4,1.0,0.0,7051,218,1769.3445682525635,0.0007923000000000001,0.01861905,0,0
chain_of_thought,Q3,plyn_vo,0.5714285714285715,0.4,1.0,0.0,5482,211,1358.35599899292,0.0006326,0.0148661,0,0
