model,condition,macro_f1_boot,ci_low,ci_high
gpt-4.1-mini,grayscale_denoise_en_standard,0.7319559383766278,0.6890400171954332,0.7718416688048642
gpt-4.1-mini,grayscale_denoise_cs_standard,0.7312119885001573,0.6887678592495734,0.7695175992968003
gpt-4.1-mini,raw_cs_standard,0.7263615447731443,0.684131604004729,0.7644889832500383
gpt-4.1-mini,raw_en_standard,0.7262541165068419,0.6843742492791206,0.7674593058825284
gpt-4.1-mini,grayscale_denoise_en_cot,0.7083605064481094,0.659924048701825,0.7562342528129787
gpt-4.1-mini,raw_en_cot,0.7029171745407803,0.6523205372333689,0.7532470464917819
gpt-4.1-mini,grayscale_denoise_cs_cot,0.6865944714383905,0.6344923933773757,0.7373405520198939
gpt-4.1,grayscale_denoise_en_cot,0.6849421424307873,0.6350502752545231,0.7304092164339778
gpt-4.1-mini,raw_cs_cot,0.6821166572474793,0.6293203342487463,0.7309380844365905
gpt-4.1,grayscale_denoise_cs_cot,0.6761913373132834,0.628079593630413,0.7233885845325522
gpt-4.1,raw_cs_cot,0.658781975248881,0.6098174345073698,0.7049032138874967
gpt-4.1,grayscale_denoise_cs_standard,0.6577697771776623,0.6123144788878712,0.7032486288714419
gpt-4.1,grayscale_denoise_en_standard,0.6559633872225599,0.6088638963146841,0.7009184905090803
gpt-4.1,raw_en_cot,0.6539705597587977,0.6062475093502595,0.7008084760379958
gpt-4.1,raw_en_standard,0.6147204917886654,0.5664026595451684,0.6609182795612811
gpt-4o-mini,grayscale_denoise_cs_cot,0.612162270132189,0.5591874924132559,0.6641794540558699
gpt-4.1,raw_cs_standard,0.6010304987031012,0.5493819276769114,0.6517810378026713
gpt-4o-mini,raw_cs_cot,0.5943766306550841,0.5406244009053942,0.6463388341490003
gpt-4o-mini,grayscale_denoise_cs_standard,0.5681160911940485,0.5223138959168828,0.6087133375366713
gpt-4o-mini,grayscale_denoise_en_standard,0.5615576052582689,0.5162678514287141,0.6041165272448931
gpt-4o-mini,raw_cs_standard,0.5609250451771349,0.5152295599367862,0.603348680161225
gpt-4o-mini,grayscale_denoise_en_cot,0.5577163894033186,0.5111017700432934,0.6022605765312783
gpt-4o-mini,raw_en_standard,0.5419696985907003,0.4944240563117752,0.5860105353083965
gpt-4o-mini,raw_en_cot,0.5234849861862981,0.47089654186075713,0.5737283061978146
