model,condition,field,tp,fp,fn,precision,recall,f1,n_gt
gpt-4.1,grayscale_denoise_cs_cot,amount_ex_vat,21.0,37.0,2.0,0.3620689655172414,0.9130434782608695,0.5185185185185185,60.0
gpt-4.1,grayscale_denoise_cs_cot,amount_inc_vat,18.0,40.0,2.0,0.3103448275862069,0.9,0.4615384615384615,60.0
gpt-4.1,grayscale_denoise_cs_cot,due_date,43.0,14.0,2.0,0.7543859649122807,0.9555555555555556,0.8431372549019609,59.0
gpt-4.1,grayscale_denoise_cs_cot,invoice_number,27.0,32.0,1.0,0.4576271186440678,0.9642857142857143,0.6206896551724138,60.0
gpt-4.1,grayscale_denoise_cs_cot,issue_date,48.0,10.0,2.0,0.8275862068965517,0.96,0.888888888888889,60.0
gpt-4.1,grayscale_denoise_cs_cot,period_from,37.0,21.0,2.0,0.6379310344827587,0.9487179487179487,0.7628865979381444,60.0
gpt-4.1,grayscale_denoise_cs_cot,period_to,47.0,11.0,2.0,0.8103448275862069,0.9591836734693877,0.8785046728971961,60.0
gpt-4.1,grayscale_denoise_cs_cot,supplier,17.0,43.0,0.0,0.2833333333333333,1.0,0.4415584415584416,60.0
gpt-4.1,grayscale_denoise_cs_standard,amount_ex_vat,19.0,37.0,4.0,0.3392857142857143,0.8260869565217391,0.4810126582278481,60.0
gpt-4.1,grayscale_denoise_cs_standard,amount_inc_vat,14.0,42.0,4.0,0.25,0.7777777777777778,0.3783783783783784,60.0
gpt-4.1,grayscale_denoise_cs_standard,due_date,41.0,14.0,4.0,0.7454545454545455,0.9111111111111111,0.8200000000000001,59.0
gpt-4.1,grayscale_denoise_cs_standard,invoice_number,27.0,31.0,2.0,0.46551724137931033,0.9310344827586207,0.6206896551724138,60.0
gpt-4.1,grayscale_denoise_cs_standard,issue_date,45.0,11.0,4.0,0.8035714285714286,0.9183673469387755,0.8571428571428571,60.0
gpt-4.1,grayscale_denoise_cs_standard,period_from,31.0,25.0,4.0,0.5535714285714286,0.8857142857142857,0.6813186813186813,60.0
