doc_idx,field,status
0,invoice_number,tp
0,period_from,tp
0,period_to,tp
0,issue_date,tp
0,due_date,tp
0,tax_point_date,fn
0,consumption_point_code,tp
0,amount_ex_vat,tp
0,amount_inc_vat,fp
0,supplier_tax_id,tp
0,customer_tax_id,tp
0,consumption_high_tariff,tp
0,consumption_low_tariff,tp
0,total_consumption,tp
1,invoice_number,tp
1,period_from,tp
1,period_to,tp
1,issue_date,tp
1,due_date,tp
1,tax_point_date,tp
1,consumption_point_code,tp
1,amount_ex_vat,tp
1,amount_inc_vat,fp
1,supplier_tax_id,tp
1,customer_tax_id,tp
1,consumption_high_tariff,fp
1,consumption_low_tariff,tp
1,total_consumption,tp
2,invoice_number,tp
2,period_from,tp
2,period_to,tp
2,issue_date,fp
2,due_date,tp
2,tax_point_date,fp
2,consumption_point_code,tp
2,amount_ex_vat,tp
2,amount_inc_vat,tp
2,supplier_tax_id,tp
2,customer_tax_id,tp
2,consumption_high_tariff,tp
2,consumption_low_tariff,tp
2,total_consumption,fn
3,invoice_number,tp
3,period_from,tp
3,period_to,tp
3,issue_date,tp
3,due_date,tp
3,tax_point_date,tp
3,consumption_point_code,tp
3,amount_ex_vat,tp
3,amount_inc_vat,tp
3,supplier_tax_id,tp
3,customer_tax_id,fp
3,consumption_high_tariff,tp
3,consumption_low_tariff,tp
3,total_consumption,fn
4,invoice_number,tp
4,period_from,tp
4,period_to,tp
4,issue_date,tp
4,due_date,tp
4,tax_point_date,tp
4,consumption_point_code,tp
4,amount_ex_vat,fp
4,amount_inc_vat,fp
4,supplier_tax_id,tp
4,customer_tax_id,tp
4,consumption_high_tariff,tp
4,consumption_low_tariff,tp
4,total_consumption,tp
5,invoice_number,tp
5,period_from,tp
5,period_to,tp
5,issue_date,tp
5,due_date,tp
5,tax_point_date,tp
5,consumption_point_code,tp
5,amount_ex_vat,tp
5,amount_inc_vat,tp
5,supplier_tax_id,tp
5,customer_tax_id,tp
5,consumption_high_tariff,tp
5,consumption_low_tariff,tp
5,total_consumption,fn
6,invoice_number,tp
6,period_from,tp
6,period_to,tp
6,issue_date,tp
6,due_date,tp
6,tax_point_date,tp
6,consumption_point_code,tp
6,amount_ex_vat,tp
6,amount_inc_vat,fp
6,supplier_tax_id,tp
6,customer_tax_id,tp
6,consumption_high_tariff,tp
6,consumption_low_tariff,tp
6,total_consumption,tp
7,invoice_number,tp
7,period_from,tp
7,period_to,tp
7,issue_date,tp
7,due_date,tp
7,tax_point_date,tp
7,consumption_point_code,tp
7,amount_ex_vat,tp
7,amount_inc_vat,tp
7,supplier_tax_id,tp
7,customer_tax_id,tp
7,consumption_high_tariff,tp
7,consumption_low_tariff,tp
7,total_consumption,tp
8,invoice_number,tp
8,period_from,tp
8,period_to,tp
8,issue_date,tp
8,due_date,tp
8,tax_point_date,tp
8,amount_ex_vat,tp
8,amount_inc_vat,tp
8,consumption_high_tariff,tp
8,consumption_low_tariff,tp
8,total_consumption,fn
9,invoice_number,tp
9,period_from,tp
9,period_to,tp
9,issue_date,tp
9,due_date,tp
9,tax_point_date,tp
9,amount_ex_vat,tp
9,amount_inc_vat,fp
9,consumption_high_tariff,fp
9,consumption_low_tariff,fn
9,total_consumption,fn
10,invoice_number,tp
10,period_from,tp
10,period_to,tp
10,issue_date,tp
10,due_date,tp
10,tax_point_date,tp
10,consumption_point_code,tp
10,amount_ex_vat,tp
10,amount_inc_vat,tp
10,supplier_tax_id,tp
10,customer_tax_id,tp
10,consumption_high_tariff,tp
10,consumption_low_tariff,tp
10,total_consumption,tp
11,invoice_number,tp
11,period_from,tp
11,period_to,tp
11,issue_date,tp
11,due_date,tp
11,tax_point_date,tp
11,amount_ex_vat,tp
11,amount_inc_vat,tp
11,consumption_high_tariff,tp
11,consumption_low_tariff,fp
11,total_consumption,fp
12,invoice_number,tp
12,period_from,tp
12,period_to,tp
12,issue_date,tp
12,due_date,tp
12,tax_point_date,tp
12,amount_ex_vat,tp
12,amount_inc_vat,fp
12,consumption_high_tariff,tp
12,consumption_low_tariff,tp
12,total_consumption,fn
13,invoice_number,tp
13,period_from,tp
13,period_to,tp
13,issue_date,tp
13,due_date,tp
13,tax_point_date,tp
13,amount_ex_vat,fp
13,amount_inc_vat,fp
13,consumption_high_tariff,tp
13,consumption_low_tariff,tp
13,total_consumption,fn
14,invoice_number,tp
14,period_from,tp
14,period_to,tp
14,issue_date,tp
14,due_date,tp
14,tax_point_date,tp
14,amount_ex_vat,tp
14,amount_inc_vat,tp
14,consumption_high_tariff,tp
14,consumption_low_tariff,tp
14,total_consumption,tp
15,invoice_number,tp
15,period_from,tp
15,period_to,tp
15,issue_date,fp
15,due_date,tp
15,tax_point_date,fp
15,amount_ex_vat,tp
15,amount_inc_vat,tp
15,consumption_high_tariff,tp
15,consumption_low_tariff,tp
15,total_consumption,tp
16,invoice_number,tp
16,period_from,tp
16,period_to,tp
16,issue_date,tp
16,due_date,tp
16,tax_point_date,tp
16,amount_ex_vat,fp
16,amount_inc_vat,fp
16,consumption_high_tariff,fp
16,consumption_low_tariff,tp
16,total_consumption,tp
17,invoice_number,tp
17,period_from,tp
17,period_to,tp
17,issue_date,tp
17,due_date,tp
17,tax_point_date,tp
17,amount_ex_vat,tp
17,amount_inc_vat,tp
17,consumption_high_tariff,tp
17,consumption_low_tariff,tp
17,total_consumption,tp
18,invoice_number,tp
18,period_from,tp
18,period_to,tp
18,issue_date,tp
18,due_date,tp
18,tax_point_date,tp
18,consumption_point_code,tp
18,amount_ex_vat,tp
18,amount_inc_vat,tp
18,supplier_tax_id,tp
18,customer_tax_id,tp
18,consumption_high_tariff,tp
18,consumption_low_tariff,tp
18,total_consumption,tp
19,invoice_number,tp
19,period_from,tp
19,period_to,tp
19,issue_date,tp
19,due_date,tp
19,tax_point_date,tp
19,amount_ex_vat,tp
19,amount_inc_vat,tp
19,consumption_high_tariff,tp
19,consumption_low_tariff,tp
19,total_consumption,tp
20,invoice_number,tp
20,period_from,tp
20,period_to,tp
20,issue_date,tp
20,due_date,tp
20,tax_point_date,tp
20,amount_ex_vat,tp
20,amount_inc_vat,tp
20,consumption_high_tariff,tp
