doc_idx,commodity,quality,escalated,escalation_reason,tp,fp,fn,precision,recall,f1,null_rate,ocr_ms,text_llm_ms,vision_llm_ms,full_pipeline_ms,prompt_tokens,completion_tokens,cost_usd,json_valid
0,elektrina_nn,Q1,0,ok,12,1,1,0.923077,0.923077,0.923077,0.1429,13509.727001190186,2526.6294479370117,0.0,16036.356449127197,13409,248,0.028802,1
1,elektrina_nn,Q1,0,ok,12,2,0,0.857143,1.0,0.923077,0.0714,10807.193756103516,5288.587808609009,0.0,16095.781564712524,12633,251,0.027274,1
2,elektrina_nn,Q1,0,ok,11,2,1,0.846154,0.916667,0.88,0.1429,12721.177577972412,7193.870306015015,0.0,19915.047883987427,13071,250,0.028142,1
3,elektrina_nn,Q1,1,format_error:customer_tax_id='263851' není 8 číslic,12,1,1,0.923077,0.923077,0.923077,0.1429,12702.698230743408,3632.5418949127197,6507.5178146362305,22842.75794029236,22591,229,0.0376368,1
4,elektrina_nn,Q1,0,ok,12,2,0,0.857143,1.0,0.923077,0.0714,17791.54062271118,6376.730918884277,0.0,24168.27154159546,15765,341,0.034258,1
5,elektrina_nn,Q1,1,format_error:customer_tax_id='263851' není 8 číslic,13,0,1,1.0,0.928571,0.962963,0.1429,12510.416746139526,2259.221076965332,4229.676961898804,18999.314785003662,22591,230,0.037298399999999995,1
6,elektrina_nn,Q1,0,ok,13,1,0,0.928571,1.0,0.962963,0.0714,19536.637783050537,2621.339797973633,0.0,22157.97758102417,16091,253,0.034206,1
7,elektrina_nn,Q1,0,ok,14,0,0,1.0,1.0,1.0,0.0714,16859.449863433838,2742.9232597351074,0.0,19602.373123168945,14386,253,0.030796,1
8,elektrina_nn,Q1,0,ok,10,0,1,1.0,0.909091,0.952381,0.1429,10877.038955688477,5698.376178741455,0.0,16575.41513442993,12462,337,0.02762,1
9,elektrina_nn,Q1,0,ok,7,2,2,0.777778,0.777778,0.777778,0.1429,7659.823417663574,3039.7608280181885,0.0,10699.584245681763,10715,336,0.024118,1
10,elektrina_nn,Q2,0,ok,14,0,0,1.0,1.0,1.0,0.0714,18102.20170021057,3983.5612773895264,0.0,22085.762977600098,15826,341,0.03438,1
11,elektrina_nn,Q2,0,ok,9,2,0,0.818182,1.0,0.9,0.0,12322.137594223022,3217.298746109009,0.0,15539.436340332031,12416,253,0.026856,1
