doc_idx,field,status
0,invoice_number,tp
0,period_from,tp
0,period_to,tp
0,issue_date,tp
0,due_date,tp
0,amount_ex_vat,tp
0,supplier_tax_id,tp
0,customer_tax_id,tp
1,invoice_number,tp
1,period_from,tp
1,period_to,tp
1,issue_date,tp
1,due_date,tp
1,amount_ex_vat,tp
1,supplier_tax_id,tp
1,customer_tax_id,tp
2,invoice_number,tp
2,period_from,tp
2,period_to,tp
2,issue_date,tp
2,due_date,tp
2,amount_ex_vat,tp
2,supplier_tax_id,tp
2,customer_tax_id,tp
3,invoice_number,tp
3,period_from,tp
3,period_to,tp
3,issue_date,tp
3,due_date,tp
3,amount_ex_vat,tp
3,supplier_tax_id,tp
3,customer_tax_id,tp
4,invoice_number,tp
4,period_from,tp
4,period_to,tp
4,issue_date,tp
4,due_date,tp
4,amount_ex_vat,tp
4,supplier_tax_id,tp
4,customer_tax_id,tp
5,invoice_number,tp
5,period_from,tp
5,period_to,tp
5,issue_date,tp
5,due_date,tp
5,amount_ex_vat,tp
5,supplier_tax_id,tp
5,customer_tax_id,tp
6,invoice_number,fp
6,period_from,tp
6,period_to,tp
6,issue_date,tp
6,due_date,tp
6,amount_ex_vat,tp
6,supplier_tax_id,tp
6,customer_tax_id,tp
7,invoice_number,fp
7,period_from,tp
7,period_to,tp
7,issue_date,fp
7,due_date,tp
7,amount_ex_vat,tp
7,supplier_tax_id,tp
7,customer_tax_id,tp
8,invoice_number,tp
8,period_from,tp
8,period_to,tp
8,issue_date,tp
8,due_date,tp
8,amount_ex_vat,tp
8,supplier_tax_id,tp
8,customer_tax_id,tp
9,invoice_number,tp
9,period_from,tp
9,period_to,tp
9,issue_date,tp
9,due_date,tp
9,amount_ex_vat,tp
9,supplier_tax_id,tp
9,customer_tax_id,tp
10,invoice_number,tp
10,period_from,tp
10,period_to,tp
10,issue_date,tp
10,due_date,tp
10,amount_ex_vat,tp
10,supplier_tax_id,tp
10,customer_tax_id,tp
11,invoice_number,tp
11,period_from,tp
11,period_to,tp
11,issue_date,tp
11,due_date,tp
11,amount_ex_vat,tp
11,supplier_tax_id,tp
11,customer_tax_id,tp
12,invoice_number,tp
12,period_from,tp
12,period_to,tp
12,issue_date,tp
12,due_date,tp
12,amount_ex_vat,tp
12,supplier_tax_id,tp
12,customer_tax_id,tp
13,invoice_number,tp
13,period_from,tp
13,period_to,tp
13,issue_date,tp
13,due_date,tp
13,amount_ex_vat,tp
13,supplier_tax_id,tp
13,customer_tax_id,tp
14,invoice_number,tp
14,period_from,tp
14,period_to,tp
14,issue_date,tp
14,due_date,tp
14,amount_ex_vat,tp
14,supplier_tax_id,tp
14,customer_tax_id,tp
15,invoice_number,tp
15,period_from,tp
15,period_to,tp
15,issue_date,tp
15,due_date,tp
15,amount_ex_vat,tp
15,supplier_tax_id,tp
15,customer_tax_id,tp
16,invoice_number,tp
16,period_from,tp
16,period_to,tp
16,issue_date,tp
16,due_date,tp
16,amount_ex_vat,tp
16,supplier_tax_id,tp
16,customer_tax_id,tp
17,invoice_number,tp
17,period_from,tp
17,period_to,tp
17,issue_date,tp
17,due_date,tp
17,amount_ex_vat,tp
17,supplier_tax_id,tp
17,customer_tax_id,tp
18,invoice_number,fp
18,period_from,tp
18,period_to,tp
18,issue_date,tp
18,due_date,tp
18,amount_ex_vat,tp
18,supplier_tax_id,tp
18,customer_tax_id,tp
19,invoice_number,fp
19,period_from,tp
19,period_to,tp
19,issue_date,tp
19,due_date,tp
19,amount_ex_vat,tp
19,supplier_tax_id,tp
19,customer_tax_id,tp
20,invoice_number,tp
20,period_from,tp
20,period_to,tp
20,issue_date,tp
20,due_date,tp
20,amount_ex_vat,tp
20,supplier_tax_id,tp
20,customer_tax_id,fp
21,invoice_number,fp
21,period_from,tp
21,period_to,tp
21,issue_date,tp
21,due_date,tp
21,amount_ex_vat,tp
21,supplier_tax_id,tp
21,customer_tax_id,tp
22,invoice_number,tp
22,period_from,tp
22,period_to,tp
22,issue_date,tp
22,due_date,tp
22,amount_ex_vat,tp
22,supplier_tax_id,tp
22,customer_tax_id,tp
23,invoice_number,fp
23,period_from,tp
23,period_to,tp
23,issue_date,tp
23,due_date,tp
23,amount_ex_vat,tp
23,supplier_tax_id,tp
23,customer_tax_id,tp
24,invoice_number,tp
24,period_from,tp
24,period_to,tp
24,issue_date,tp
24,due_date,tp
24,amount_ex_vat,tp
24,supplier_tax_id,tp
24,customer_tax_id,fp
25,invoice_number,fp
25,period_from,fp
25,period_to,tp
25,issue_date,tp
25,due_date,tp
25,amount_ex_vat,tp
25,supplier_tax_id,fp
25,customer_tax_id,tp
26,invoice_number,fp
26,period_from,fp
26,period_to,tp
26,issue_date,fp
26,due_date,fp
26,amount_ex_vat,tp
26,supplier_tax_id,tp
26,customer_tax_id,tp
27,invoice_number,tp
27,period_from,tp
27,period_to,tp
27,issue_date,tp
27,due_date,tp
28,invoice_number,tp
28,period_from,tp
28,period_to,tp
28,issue_date,tp
28,due_date,tp
29,invoice_number,tp
29,period_from,tp
29,period_to,tp
29,issue_date,tp
29,due_date,tp
30,invoice_number,fn
30,period_from,tp
30,period_to,tp
30,issue_date,tp
30,due_date,tp
31,invoice_number,tp
31,period_from,tp
31,period_to,tp
31,issue_date,tp
31,due_date,tp
32,invoice_number,tp
32,period_from,tp
32,period_to,tp
32,issue_date,tp
32,due_date,tp
33,invoice_number,fp
33,period_from,tp
33,period_to,tp
33,issue_date,tp
33,due_date,tp
34,invoice_number,fn
34,period_from,tp
34,period_to,tp
34,issue_date,tp
34,due_date,tp
35,invoice_number,fn
35,period_from,tp
35,period_to,tp
35,issue_date,tp
35,due_date,tp
36,invoice_number,tp
36,period_from,tp
36,period_to,tp
36,issue_date,tp
36,due_date,tp
37,invoice_number,tp
37,period_from,tp
37,period_to,tp
37,issue_date,tp
37,due_date,tp
38,invoice_number,tp
38,period_from,tp
38,period_to,tp
38,issue_date,tp
38,due_date,tp
39,invoice_number,tp
39,period_from,tp
39,period_to,tp
39,issue_date,tp
39,due_date,tp
40,invoice_number,tp
40,period_from,tp
40,period_to,tp
40,issue_date,tp
40,due_date,tp
41,invoice_number,tp
41,period_from,tp
