doc_idx,commodity,quality,escalated,escalation_reason,tp,fp,fn,precision,recall,f1,null_rate,ocr_ms,text_llm_ms,vision_llm_ms,full_pipeline_ms,prompt_tokens,completion_tokens,cost_usd,json_valid
0,elektrina_nn,Q1,0,ok,8,0,0,1.0,1.0,1.0,0.2857,4941.425800323486,7205.61957359314,0.0,12147.045373916626,8999,327,0.020614,1
1,elektrina_nn,Q1,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,8,0,0,1.0,1.0,1.0,0.2857,3658.5443019866943,3758.4190368652344,8059.283494949341,15476.24683380127,10342,216,0.0243784,1
2,elektrina_nn,Q1,0,ok,8,0,0,1.0,1.0,1.0,0.2143,3623.335838317871,5405.423879623413,0.0,9028.759717941284,8995,333,0.020654,1
3,elektrina_nn,Q2,1,format_error:amount_inc_vat(23004.08) < amount_ex_vat(219011.64) — DPH nemůže být záporná,8,0,0,1.0,1.0,1.0,0.2857,3661.8547439575195,3920.26686668396,6179.934740066528,13762.056350708008,10342,216,0.0243184,1
4,elektrina_nn,Q2,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,8,0,0,1.0,1.0,1.0,0.2857,3716.5353298187256,3926.832675933838,4580.376863479614,12223.744869232178,10342,216,0.024334400000000003,1
5,elektrina_nn,Q2,0,ok,8,0,0,1.0,1.0,1.0,0.1429,3747.375726699829,6832.831859588623,0.0,10580.207586288452,8933,334,0.020538,1
6,elektrina_nn,Q3,1,"required_missing:period_from,period_to",7,1,0,0.875,1.0,0.933333,0.2857,3517.3275470733643,5434.270143508911,6365.707159042358,15317.304849624634,10332,242,0.023974,1
7,elektrina_nn,Q3,0,ok,6,2,0,0.75,1.0,0.857143,0.1429,3605.708599090576,4289.909362792969,0.0,7895.617961883545,8919,334,0.02051,1
8,elektrina_nn,Q3,1,"required_missing:invoice_number,amount_inc_vat,period_from,period_to",8,0,0,1.0,1.0,1.0,0.2857,2778.303861618042,3576.4219760894775,5974.643707275391,12329.36954498291,10347,220,0.0234848,1
9,elektrina_nn,Q1,0,ok,8,0,0,1.0,1.0,1.0,0.2857,4095.5986976623535,4646.578073501587,0.0,8742.17677116394,9133,327,0.020882,1
10,elektrina_nn,Q1,0,ok,8,0,0,1.0,1.0,1.0,0.2143,4323.137044906616,4991.725921630859,0.0,9314.862966537476,9135,331,0.020918,1
11,elektrina_nn,Q1,0,ok,8,0,0,1.0,1.0,1.0,0.2857,4170.948266983032,3232.3005199432373,0.0,7403.2487869262695,9132,242,0.0202,1
12,elektrina_nn,Q2,0,ok,8,0,0,1.0,1.0,1.0,0.2143,4205.650806427002,6406.677961349487,0.0,10612.32876777649,9075,331,0.020798,1
13,elektrina_nn,Q2,0,ok,8,0,0,1.0,1.0,1.0,0.2857,4306.333303451538,4126.192569732666,0.0,8432.525873184204,9069,327,0.020754,1
14,elektrina_nn,Q2,0,ok,8,0,0,1.0,1.0,1.0,0.2857,4294.503450393677,3301.4771938323975,0.0,7595.980644226074,9090,242,0.020116,1
15,elektrina_nn,Q3,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,8,0,0,1.0,1.0,1.0,0.2857,3376.856803894043,5557.48724937439,4367.854356765747,13302.19841003418,10326,216,0.024086,1
16,elektrina_nn,Q3,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,8,0,0,1.0,1.0,1.0,0.2857,3161.5285873413086,4885.376930236816,5033.653497695923,13080.559015274048,10331,216,0.024722,1
17,elektrina_nn,Q3,1,"required_missing:amount_inc_vat,period_from,period_to",8,0,0,1.0,1.0,1.0,0.2857,3118.4418201446533,3905.6105613708496,5777.4817943573,12801.534175872803,10331,220,0.0237304,1
18,elektrina_nn,Q1,0,ok,7,1,0,0.875,1.0,0.933333,0.2857,3612.312078475952,4234.706163406372,0.0,7847.018241882324,9050,241,0.020028,1
19,elektrina_nn,Q1,0,ok,7,1,0,0.875,1.0,0.933333,0.2857,3551.75518989563,4912.887096405029,0.0,8464.64228630066,9067,241,0.020062,1
20,elektrina_nn,Q1,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,7,1,0,0.875,1.0,0.933333,0.2857,3519.063949584961,6739.931583404541,5213.133096694946,15472.128629684448,10354,217,0.0251988,1
21,elektrina_nn,Q2,0,ok,7,1,0,0.875,1.0,0.933333,0.2143,3737.8127574920654,5779.029607772827,0.0,9516.842365264893,9033,244,0.020018,1
22,elektrina_nn,Q2,0,ok,8,0,0,1.0,1.0,1.0,0.2857,3791.3589477539062,3704.7369480133057,0.0,7496.095895767212,9050,242,0.020036,1
23,elektrina_nn,Q2,0,ok,7,1,0,0.875,1.0,0.933333,0.2857,3552.985668182373,4779.56223487854,0.0,8332.547903060913,9038,241,0.020004,1
24,elektrina_nn,Q3,1,cross_field:at_least_one_null:consumption_high_tariff+consumption_low_tariff,7,1,0,0.875,1.0,0.933333,0.2857,3682.2128295898438,3351.931571960449,5248.565196990967,12282.70959854126,10343,241,0.0245048,1
25,elektrina_nn,Q3,0,ok,5,3,0,0.625,1.0,0.769231,0.2143,3603.1322479248047,4302.144527435303,0.0,7905.276775360107,8930,244,0.019812,1
26,elektrina_nn,Q3,0,ok,4,4,0,0.5,1.0,0.666667,0.2857,3431.2477111816406,5676.355838775635,0.0,9107.603549957275,8914,240,0.019748,1
27,elektrina_vn,Q1,1,required_missing:invoice_number,5,0,0,1.0,1.0,1.0,0.6923,3307.3863983154297,7211.431980133057,5436.655759811401,15955.474138259888,9880,366,0.0254696,1
28,elektrina_vn,Q1,1,required_missing:invoice_number,5,0,0,1.0,1.0,1.0,0.6923,3438.977003097534,8259.207725524902,5167.30260848999,16865.487337112427,9880,364,0.0254664,1
29,elektrina_vn,Q1,1,required_missing:invoice_number,5,0,0,1.0,1.0,1.0,0.6923,3532.7250957489014,7574.848890304565,7772.290468215942,18879.86445426941,9880,364,0.0254944,1
30,elektrina_vn,Q2,1,"required_missing:invoice_number,supply_consumption",4,0,1,1.0,0.8,0.888889,0.7308,3830.4615020751953,5583.139419555664,6234.994888305664,15648.595809936523,9868,409,0.0254776,1
31,elektrina_vn,Q2,1,"required_missing:invoice_number,supply_consumption",5,0,0,1.0,1.0,1.0,0.6923,3515.073776245117,5643.635272979736,7068.604469299316,16227.31351852417,9880,368,0.025418800000000002,1
